::Queue started at 24-Feb-2013 10:22:29, with machine clock reading 97272.9091.::
space	194549.8024
::Onset of return expected: [N/A SELF PACED]  recorded: 232.8685 ::
return	232.8685
::Onset of trial expected: [N/A SELF PACED]  recorded: 233.6199 ::
trial	233.6199
::Onset of return expected: [N/A SELF PACED]  recorded: 234.3548 ::
return	234.3548
::Onset of trial expected: [N/A SELF PACED]  recorded: 235.1061 ::
trial	235.1061
::Onset of return expected: [N/A SELF PACED]  recorded: 235.9745 ::
return	235.9745
::Onset of trial expected: [N/A SELF PACED]  recorded: 236.7259 ::
trial	236.7259
::Onset of return expected: [N/A SELF PACED]  recorded: 237.5441 ::
return	237.5441
::Onset of trial expected: [N/A SELF PACED]  recorded: 238.2957 ::
trial	238.2957
::Onset of return expected: [N/A SELF PACED]  recorded: 239.1641 ::
return	239.1641
::Onset of trial expected: [N/A SELF PACED]  recorded: 239.8987 ::
trial	239.8987
::Onset of return expected: [N/A SELF PACED]  recorded: 240.667 ::
return	240.6670
::Onset of trial expected: [N/A SELF PACED]  recorded: 241.4184 ::
trial	241.4184
::Onset of return expected: [N/A SELF PACED]  recorded: 242.1865 ::
return	242.1865
::Onset of trial expected: [N/A SELF PACED]  recorded: 242.9382 ::
trial	242.9382
::Onset of return expected: [N/A SELF PACED]  recorded: 243.8564 ::
return	243.8564
::Onset of trial expected: [N/A SELF PACED]  recorded: 244.608 ::
trial	244.6080
::Onset of return expected: [N/A SELF PACED]  recorded: 245.493 ::
return	245.4930
::Onset of trial expected: [N/A SELF PACED]  recorded: 246.2444 ::
trial	246.2444
::Onset of return expected: [N/A SELF PACED]  recorded: 246.9792 ::
return	246.9792
::Onset of trial expected: [N/A SELF PACED]  recorded: 247.7305 ::
trial	247.7305
::Onset of return expected: [N/A SELF PACED]  recorded: 248.5322 ::
return	248.5322
::Onset of trial expected: [N/A SELF PACED]  recorded: 249.2838 ::
trial	249.2838
::Onset of return expected: [N/A SELF PACED]  recorded: 250.152 ::
return	250.1520
::Onset of trial expected: [N/A SELF PACED]  recorded: 250.9036 ::
trial	250.9036
::Onset of return expected: [N/A SELF PACED]  recorded: 251.7384 ::
return	251.7384
::Onset of trial expected: [N/A SELF PACED]  recorded: 252.49 ::
trial	252.4900
::Onset of return expected: [N/A SELF PACED]  recorded: 253.2581 ::
return	253.2581
::Onset of trial expected: [N/A SELF PACED]  recorded: 254.0095 ::
trial	254.0095
::Onset of return expected: [N/A SELF PACED]  recorded: 254.7443 ::
return	254.7443
::Onset of trial expected: [N/A SELF PACED]  recorded: 255.4958 ::
trial	255.4958
::Onset of return expected: [N/A SELF PACED]  recorded: 256.2473 ::
return	256.2473
::Onset of trial expected: [N/A SELF PACED]  recorded: 256.982 ::
trial	256.9820
::Onset of return expected: [N/A SELF PACED]  recorded: 257.7335 ::
return	257.7335
::Onset of trial expected: [N/A SELF PACED]  recorded: 258.4681 ::
trial	258.4681
::Onset of return expected: [N/A SELF PACED]  recorded: 259.2197 ::
return	259.2197
::Onset of trial expected: [N/A SELF PACED]  recorded: 259.971 ::
trial	259.9710
::Onset of return expected: [N/A SELF PACED]  recorded: 260.9062 ::
return	260.9062
::Onset of trial expected: [N/A SELF PACED]  recorded: 261.6577 ::
trial	261.6577
::Onset of return expected: [N/A SELF PACED]  recorded: 262.4927 ::
return	262.4927
::Onset of trial expected: [N/A SELF PACED]  recorded: 263.2775 ::
trial	263.2775
::Onset of return expected: [N/A SELF PACED]  recorded: 264.0458 ::
return	264.0458
::Onset of trial expected: [N/A SELF PACED]  recorded: 264.7972 ::
trial	264.7972
::Onset of return expected: [N/A SELF PACED]  recorded: 265.5319 ::
return	265.5319
::Onset of trial expected: [N/A SELF PACED]  recorded: 266.2834 ::
trial	266.2834
::Onset of return expected: [N/A SELF PACED]  recorded: 267.419 ::
return	267.4190
::Onset of trial expected: [N/A SELF PACED]  recorded: 268.1704 ::
trial	268.1704
::Onset of return expected: [N/A SELF PACED]  recorded: 269.1889 ::
return	269.1889
::Onset of trial expected: [N/A SELF PACED]  recorded: 269.9405 ::
trial	269.9405
::Onset of return expected: [N/A SELF PACED]  recorded: 270.6752 ::
return	270.6752
