Event Number	Event Type	Onset
570	trial	484.5877127099
571	return	485.3710229630
572	trial	486.1386261230
573	return	487.9051204419
574	trial	488.9551506729
575	return	490.8222067830
576	trial	491.9391318590
577	return	493.0562801190
578	trial	493.7733518539
579	return	494.7229661730
580	trial	495.5067627740
581	return	496.2228078359
582	trial	496.9067986379
583	return	498.2072622710
584	trial	498.9229962849
585	return	500.4578008059
586	trial	501.1739613740
587	return	502.6739888169
