Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
145	0	2	1.855215e-01	0	1.297814e-02	2.412766e+00	1.956947e-01	100	1	0
146	2	4	6.523935e-01	-3.467997e-02	4.810325e-01	4.699731e+01	3.324810e+00	100	1	1
146	0	4	3.511797e-01	0	2.462405e+00	4.863584e+02	4.496426e+00	5.061072e+01	1	0
147	2	1	1.269550e+00	-1.966442e-01	8.287382e+00	8.495468e+02	1.957617e+01	100	0	1
147	0	1	5.183965e-01	0	1.208133e+01	2.370466e+03	2.104618e+01	5.004527e+01	1	0
148	2	3	5.011616e-01	9.011670e-02	4.258272e+00	4.133101e+02	8.770529e+00	1.000000e+02	1	1
148	0	3	3.024092e-01	0	5.197985e+00	1.038040e+03	8.385237e+00	4.989865e+01	1	0
149	2	4	6.509902e-01	-6.416881e-02	2.591488e+00	2.520362e+02	6.438270e+00	8.465527e+01	1	1
149	0	4	2.854816e-01	0	2.442964e+00	4.877027e+02	4.496426e+00	5.004060e+01	1	0
150	2	2	5.351864e-01	2.694636e-16	1.217119e-14	1.243320e-12	2.604991e-14	100	1	1
150	0	2	3.015908e-01	0	7.187643e-02	1.440342e+01	7.826495e-01	7.851918e+01	1	0
151	2	3	5.515989e-01	-5.870774e-03	2.986109e-02	2.986058e+00	5.870740e-01	1.000000e+02	1	1
151	0	3	1.342261e-01	0	3.773712e+00	7.525284e+02	6.249988e+00	5.004907e+01	1	0
152	2	1	7.016898e-01	1.751417e-01	4.742773e+00	4.441733e+02	1.657228e+01	100	1	1
152	0	1	4.020215e-01	0	1.907980e+00	3.774888e+02	5.837900e+00	7.354919e+01	1	0
153	2	2	6.018752e-01	5.344699e-02	4.327282e+00	4.109699e+02	5.662577e+00	8.943564e+01	1	1
153	0	2	3.181090e-01	0	1.094436e+00	2.165342e+02	2.152145e+00	5.063056e+01	1	0
154	2	4	5.009369e-01	2.449294e-16	1.295165e-14	1.277423e-12	1.956947e-01	4.859710e-17	1	1
154	0	4	2.014646e-01	0	1.033065e+00	2.065877e+02	2.152143e+00	5.000546e+01	1	0
155	2	1	1.634949e+00	-1.065904e-01	6.650274e-01	6.953859e+01	1.030891e+01	9.866238e+01	1	1
155	0	1	2.356392e-01	0	4.055386e-15	8.126644e-13	6.135217e-15	50	1	0
156	2	3	4.177862e-01	1.836970e-16	9.950639e-15	9.950639e-13	1.836970e-14	100	1	1
156	0	3	2.015698e-01	0	4.745990e-01	9.259788e+01	2.737767e+00	6.542273e+01	1	0
157	2	4	5.359025e-01	2.449294e-16	1.315128e-14	1.268803e-12	4.892368e+00	1.242035e-15	1	1
157	0	4	1.347716e-01	0	1.734493e-14	3.421466e-12	2.415742e-14	50	1	0
158	2	2	3.022117e-01	3.997869e-02	1.081300e+00	1.057178e+02	3.910767e+00	100	1	1
158	0	2	6.823357e-02	0	2.455591e-01	2.960165e+01	2.152642e+00	1.000000e+02	1	0
159	2	3	1.521036e-01	-3.135733e+00	3.324274e-02	3.330722e+00	5.870741e-01	1.000000e+02	0	1
159	0	3	-1.439874e-02	0	8.268163e-16	3.721483e-15	8.268163e-16	100	1	0
160	2	1	4.843823e-01	6.123234e-17	3.191862e-15	3.535408e-13	6.135217e-15	100	1	1
160	0	1	2.512420e-01	0	4.423577e-15	8.864468e-13	6.135217e-15	50	1	0
161	2	2	5.509346e-01	-2.928850e-02	3.173226e-01	3.202911e+01	2.934162e+00	100	1	1
