::Queue started at 28-Jan-2013 13:58:54, with machine clock reading 445078.3056.::
::Experiment started at 28-Jan-2013 13:58:55, with machine clock reading 445078.9117.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	890157.7901
::Onset of return expected: [N/A SELF PACED]  recorded: 289.2914 ::
return	289.2914
::Onset of trial expected: [N/A SELF PACED]  recorded: 290.009 ::
trial	290.0090
::Onset of return expected: [N/A SELF PACED]  recorded: 290.9582 ::
return	290.9582
::Onset of trial expected: [N/A SELF PACED]  recorded: 292.1422 ::
trial	292.1422
::Onset of return expected: [N/A SELF PACED]  recorded: 292.9927 ::
return	292.9927
::Onset of trial expected: [N/A SELF PACED]  recorded: 293.7091 ::
trial	293.7091
::Onset of return expected: [N/A SELF PACED]  recorded: 294.5764 ::
return	294.5764
::Onset of trial expected: [N/A SELF PACED]  recorded: 295.2925 ::
trial	295.2925
::Onset of return expected: [N/A SELF PACED]  recorded: 296.2928 ::
return	296.2928
::Onset of trial expected: [N/A SELF PACED]  recorded: 297.0092 ::
trial	297.0092
::Onset of return expected: [N/A SELF PACED]  recorded: 297.9093 ::
return	297.9093
